name,city,price,rooms,area,price_per_m2,link,forma_wlasnosci,stan_wykonczenia,pietro,balkon,czynsz,parking,ogrzewanie
Mieszkanie 56m² z ogrodem 32m²,Warszawa,485 112 ,3 pokoje,56,8663 ,https://www.otodom.pl/oferta/mieszkanie-56m-z-ogrodem-32m-ID4kJ07,,do wykończenia,parter/2,,,,
"Warszawa Śródmieście, bezpośrednio, obok Łazienek",Warszawa,825 000 ,2 pokoje,43.5,18 966 ,https://www.otodom.pl/oferta/warszawa-srodmiescie-bezposrednio-obok-lazienek-ID4kDPw,pełna własność,do zamieszkania,3/4,balkon,660,,miejskie
"Sprzedam, kameralne 2 pokojowe mieszkanie 37 m2",Warszawa,500 000 ,2 pokoje,37,13 514 ,https://www.otodom.pl/oferta/sprzedam-kameralne-2-pokojowe-mieszkanie-37-m2-ID4kwSY,spółdzielcze wł. z KW,do remontu,3/4,balkon,450,,miejskie
"Jasna kawalerka na Żoliborzu, idealna pod wynajem!",Warszawa,433 000 ,1 pokój,25.5,16 980 ,https://www.otodom.pl/oferta/jasna-kawalerka-na-zoliborzu-idealna-pod-wynajem-ID4kN5t,spółdzielcze własnościowe,do zamieszkania,2/4,,320,,miejskie
"Mieszkanie 2 pok. na Mokotowie, BEZ POŚREDNIKÓW",Warszawa,550 000 ,2 pokoje,39.2,14 031 ,https://www.otodom.pl/oferta/mieszkanie-2-pok-na-mokotowie-bez-posrednikow-ID4kN5g,pełna własność,,1/10,balkon,700,garaż/miejsce parkingowe,miejskie
4 pokoje z widokiem na zieleń - Sarmacka,Warszawa,1 650 000 ,4 pokoje,93,17 742 ,https://www.otodom.pl/oferta/4-pokoje-z-widokiem-na-zielen-sarmacka-ID4kN56,pełna własność,do zamieszkania,1/4,balkon,1290,garaż/miejsce parkingowe,miejskie
Wyjątkowy 3/4 pok Apartament z niesamowitą panoram,Warszawa,1 360 000 ,4 pokoje,100,13 600 ,https://www.otodom.pl/oferta/wyjatkowy-3-4-pok-apartament-z-niesamowita-panoram-ID4kN5a,pełna własność,do zamieszkania,,"balkon, taras",980,,miejskie
"Mieszkanie 2 pok po remoncie, przy parku, Ochota",Warszawa,529 000 ,2 pokoje,36.6,14 454 ,https://www.otodom.pl/oferta/mieszkanie-2-pok-po-remoncie-przy-parku-ochota-ID4gBzG,pełna własność,do zamieszkania,3/10,,250,,miejskie
Mieszkanie sprzedaż praga południe Ch Promenada,Warszawa,600 000 ,3 pokoje,61,9836 ,https://www.otodom.pl/oferta/mieszkanie-sprzedaz-praga-poludnie-ch-promenada-ID4kN4V,pełna własność,do remontu,> 10/15,,400,,
"Mokotów, piękny WIDOK, garaż na 2 auta, komórka",Warszawa,1 940 000 ,4 pokoje,93,20 860 ,https://www.otodom.pl/oferta/mokotow-piekny-widok-garaz-na-2-auta-komorka-ID4kKTQ,pełna własność,do zamieszkania,4/5,balkon,1200,garaż/miejsce parkingowe,miejskie
"Mieszkanie, 68 m², Warszawa",Warszawa,868 000 ,3 pokoje,68,12 765 ,https://www.otodom.pl/oferta/mieszkanie-68-m-warszawa-ID4jHXl,pełna własność,do zamieszkania,5/5,,650,garaż/miejsce parkingowe,
